군구,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,도로명주소
북구,25448,20503,19942,26272,26114,33327,36661,38067,38310,39853,41328,부산광역시 북구 낙동대로1570번길 33
부산진구,24663,23111,22508,25132,26082,32977,34528,35939,36427,37623,38927,부산광역시 부산진구 시민공원로 30 부산진구청
연제구,32862,28236,29025,37193,36419,47691,51525,53068,54956,56856,58577,부산광역시 연제구 연제로 2 연제구청
동구,23419,18646,20540,25989,28186,33173,37311,39480,37601,39533,41584,부산광역시 동구 구청로 1
동래구,32973,27419,30149,36436,36920,52764,60645,65462,61529,65570,70000,부산광역시 동래구 충렬대로237번길 93
강서구,32184,25907,28493,31710,31440,44548,45749,47651,47871,49249,50889,"부산광역시 강서구 낙동북로 477 낙동북로 477, 강서구청"
금정구,32357,26111,27088,36016,34191,41218,42901,42653,47766,48513,48761,부산광역시 금정구 중앙대로 1777 금정구청
해운대구,39499,29885,32677,39741,41449,62376,71279,75031,73706,77618,81450,부산광역시 해운대구 중동2로 11 해운대구청
기장군,23276,21769,20458,23999,24042,32065,32466,32390,36809,37312,37524,부산광역시 기장군 기장읍 기장대로 560 기장군청
중구,18230,16198,16457,17519,17516,20322,22066,22593,22868,23569,24183,부산 중구 중구로 120
남구,34718,26246,27939,37432,38548,51189,59496,64159,58925,62830,67115,부산광역시 남구 못골로 19
사하구,19732,16290,16911,18877,19091,22508,22446,21763,25079,25016,24643,부산광역시 사하구 낙동대로398번길 12 사하구청
사상구,18949,17305,18069,19939,20571,23448,24397,24438,26614,27065,27311,부산광역시 사상구 학감대로 242 사상구청
수영구,41562,31587,34500,40470,42622,71117,81830,88329,84766,90417,96494,부산광역시 수영구 남천동로 100 수영구청
서구,32068,25607,26448,31547,35433,40221,45458,48796,45550,48247,51267,부산광역시 서구 구덕로 120
영도구,16736,16077,16279,18432,20249,22810,23811,24520,25142,25829,26527,부산광역시 영도구 태종로 423 영도구청
